"Monthly counts of all registered deaths for 'unvaccinated' and 'ever vaccinated' by age group; for all deaths and deaths involving COVID-19, deaths occurring between 1 January 2021 and 31 May 2022, England"					
This worksheet contains 1 table.					
"Source: Source: Office for National Statistics, National Immunisation Management Service."					
Cause of Death	Year	Month	Age group	Vaccination status	Count of Deaths
Deaths involving COVID-19	2022	February	50-59	Ever vaccinated	83
Deaths involving COVID-19	2022	February	60-69	Unvaccinated	57
Deaths involving COVID-19	2022	February	60-69	Ever vaccinated	182
Deaths involving COVID-19	2022	February	70-79	Unvaccinated	85
Deaths involving COVID-19	2022	February	70-79	Ever vaccinated	571
Deaths involving COVID-19	2022	February	80-89	Unvaccinated	102
Deaths involving COVID-19	2022	February	80-89	Ever vaccinated	1130
Deaths involving COVID-19	2022	February	90+	Unvaccinated	57
Deaths involving COVID-19	2022	February	90+	Ever vaccinated	765
Deaths involving COVID-19	2022	March	10-39	Unvaccinated	11
Deaths involving COVID-19	2022	March	10-39	Ever vaccinated	18
Deaths involving COVID-19	2022	March	40-49	Unvaccinated	12
Deaths involving COVID-19	2022	March	40-49	Ever vaccinated	24
Deaths involving COVID-19	2022	March	50-59	Unvaccinated	21
Deaths involving COVID-19	2022	March	50-59	Ever vaccinated	74
Deaths involving COVID-19	2022	March	60-69	Unvaccinated	36
Deaths involving COVID-19	2022	March	60-69	Ever vaccinated	180
Deaths involving COVID-19	2022	March	70-79	Unvaccinated	72
Deaths involving COVID-19	2022	March	70-79	Ever vaccinated	611
Deaths involving COVID-19	2022	March	80-89	Unvaccinated	84
Deaths involving COVID-19	2022	March	80-89	Ever vaccinated	1198
Deaths involving COVID-19	2022	March	90+	Unvaccinated	51
Deaths involving COVID-19	2022	March	90+	Ever vaccinated	898
Deaths involving COVID-19	2022	April	10-39	Unvaccinated	<3
Deaths involving COVID-19	2022	April	10-39	Ever vaccinated	13
Deaths involving COVID-19	2022	April	40-49	Unvaccinated	13
Deaths involving COVID-19	2022	April	40-49	Ever vaccinated	25
Deaths involving COVID-19	2022	April	50-59	Unvaccinated	15
Deaths involving COVID-19	2022	April	50-59	Ever vaccinated	90
